circRNA,miRNA,label,used
circdennd4c,mir-200b,1,True
circnf1,mir-16,1,True
hsa_circ_0008305,mir-200b-3p,1,True
hsa_circrna_104964,mir-425-5p,0,True
hsa_circ_0049657,mir-377,0,True
hsa_circ_0009362,mir-141-5p,1,True
circrna-0044073,mir-107,1,True
hsa_circ_0000284,mir-124,1,True
circfndc3b,mir-1178-3p,1,True
hsa_circ_0032627,mir-502-5p,1,True
hsa_circ_0008039,mir-515-5p,1,True
hsa_circ_0001038,mir-337-3p,1,True
hsa_circ_0001955,mir-516a-5p,1,True
hsa_circ_0091570,mir-1307,1,True
hsa_circ_0009910,mir-20a-5p,1,True
cbl.11,mir-4769-5p,0,True
bcrc-3,mir-1290,0,True
bcrc-3,mir-182-5p,1,True
circccdc66,mir-93,1,True
hsa_circ_0014130,mir-566,1,True
circ-banp,mir-503,1,True
hsa_circ_0001742,mir-770,0,True
hsa_circ_0000267,mir-503-5p,1,True
circwhsc1,mir-145,1,True
circ-prmt5,mir-498,1,True
circ_ankib1,mir-19b,1,True
hsa_circ_0044529,mir-4640-5p,1,True
hsa_circ_082319,hsa-mir-522-3p,1,True
circrna_09585,mir-195,0,True
hsa_circ_0063781,mir-100,0,True
hsa_circ_0023303,mir-646,1,True
circplk1,mir-296-5p,1,True
circ-abcb10,mir-203,1,True
hsa_circ_0081108,mir-30c,0,True
circzfp57,mir-200,1,True
hsa_circ_0008225,mir-890,1,True
circsmarca5,mir-19b-3p,1,True
circabcc4,mir-1182,1,True
hsa_circ_103047,mir-98-5p,0,True
hsa_circ_0001417,mir-613,0,True
circzfr,mir-130a,1,True
circdock1,mir-132-3p,1,True
circ-ptprz1,mir-1261,1,True
circ-itch,mir-17-5p,1,True
hsa_circrna_100833,mir-498,1,True
hsa_circ_0072088,mir-410-3p,0,True
hsa_circ_0000408,mir-136-5p,1,True
hsa_circ_0072088,mir-532-3p,1,True
hsa_circ_0027599,mir-101-3p,1,True
circagfg1,mir-195-5p,1,True
has-circrna_0046367,mir-34a,1,True
cdr1as,mir-1270,1,True
hsa_circ_0078710,mir-31,1,True
hsa_circ_004183,mir-1972,1,True
hsa_circ_0038374,mir-1179,0,True
hsa_circ_0023404,mir-646,1,True
circ-erbb2,mir-503,1,True
circ_1639,mir-122,1,True
hsa_circrna_101996,mir-8075,1,True
hsa_circ_0001971,mir-204,1,True
hsa_circ_0016788,mir-486,1,True
hsa_circ_0037911,mir-376a,0,True
hsa_circ_0057576,mir-130a-3p,1,True
hsa_circ_0004771,mir-653,1,True
hsa_circrna_101408,mir-1297,0,True
circslc3a2,mir-146b-3p,0,True
hsa_circ_0076305,mir-296-5p,1,True
cmras,mir-567,1,True
circular rna wdr77,mir-15b-5p,0,True
hsa_circ_0051443,mir-497-5p,0,True
circtada2a-e6,mir-203a-3p,1,True
hsa_circ_0012384,mir-342-3p,0,True
hsa_circ_0001721,mir-569,1,True
circagfg1,mir-370-3p,1,True
circrna_11109,mir-132-3p,0,True
hsa_circ_0000291,mir-183,1,True
hsa_circ_0060428,mir-375,1,True
hsa_circrna_100192,mir-645-ifit2,0,True
circ-rangap1,mir-877-3p,1,True
hsa_circ_0057481,mir-568,0,True
hsa_circ_0081162,mir-1294,0,True
circubap2,mir-135b-3p,1,True
circ-rad23b,mir-593-3p,1,True
circtnfrsf21,mir-1227,1,True
hsa_circ_0001098,mir-3942-3p,1,True
circ-ldlrad3,mir-137-3p,1,True
hsa_circ_0032131,mir-188-3p,0,True
circ-cdc45,mir-516b,1,True
hsa_circ_0030055,mir-519d-3p,1,True
circ-atp8a2,mir-433,1,True
hsa_circ_0002453,mir-208a,1,True
hsa_circrna11806-28,mir-486,0,True
hsa_circ_0003645,mir-1179,1,True
hsa_circ_0023956,mir-21-5p,0,True
circmtdh.4,let-7e-5p,0,True
circsmo742,mir-1307,0,True
hsa_circrna_061346,mir-4778-3p,1,True
hsa_circrna_100933,mir-2113,1,True
circ-cbfb,mir-607,1,True
circ_sdha,mir-185-5p,0,True
hsa_circrna_101873,mir-607,0,True
hsa_circ_0058124,mir-940,1,True
circ-akt3,mir-516b-5p,1,True
hsa_circ_0039569,let-7c-5p,1,True
hsa_circ_0037909,hsa-mir-637,1,True
cttn2,mir-let-7c-5p,0,True
hsa_circ_001569,mir-145,1,True
hsa_circ_0000977,mir-199a-3p,0,True
circfut8,mir-570-3p,1,True
circagfg1,mir-203,1,True
hsa_circ_0001946,mir-7,1,True
circtp63,mir-873-3p,1,True
hsa_circ_0012919,mir-125a-3p,1,True
circ-homer1,mir-1322,1,True
circmto1,mir-9,1,True
circrna_000203,mir-26b-5p,1,True
hsa_circrna_101408,mir-500a-5p,1,True
circrna_001275,mir-370-3p,1,True
circ-pde8a,mir-139,0,True
circ-cdyl,mir-499-5p,0,True
circrna_101505,mir-103,1,True
hsa_circ_0018508,mir-34b-5p,0,True
hsa_circ_0005127,mir-181b-5p,0,True
circlarp4,mir-513b-5p,1,True
hsa_circ_0000554,mir-1912,1,True
circ-znf264,mir-4493,1,True
circ-ttbk2,mir-761,1,True
hsa_circ_001598,mir-101,1,True
hsa_circrna_004662,mir-208b-5p,1,True
hsa_circ_0003998,mir-326,1,True
hsa_circ_0001658,mir-375,1,True
hsa_circ_0055625,mir-106b-5p,1,True
circmylk,mir-362-3p,1,True
hsa_circ_0068942,mir-130a-3p,1,True
hsa_circ_0058063,mir-145-5p,1,True
circ-prmt5,mir-1304,1,True
hsa_circrna_100834,mir-299-3p,1,True
hsa_circrna_004662,mir-4520-2-3p,1,True
hsa_circ_0136666,mir-1299,1,True
hsa_circ_0074362,mir-1236-3p,1,True
hsa_circ_0072387,mir-503-5p,1,True
hsa_circ_0072387,mir-296-5p,0,True
