miRNA,disease,label,used
mir-489,thyroid neoplasms,0,True
mir-423-5p,lung neoplasms,0,True
mir-597-5p,colorectal neoplasms,1,True
mir-188-5p,"carcinoma, hepatocellular",1,True
mir-3164,triple negative breast neoplasms,1,True
hsa-mir-5095,hypertension,1,True
mir-153-3p,uterine cervical neoplasms,1,True
mir-143-3p,melanoma,1,True
mir-194,squamous cell carcinoma of head and neck,1,True
mir-542-3p,"carcinoma, ovarian epithelial",1,True
mir-326,breast neoplasms,1,True
mir-1228,liver neoplasms,1,True
mir-507,diabetic retinopathy,0,True
mir-582,colorectal neoplasms,1,True
mir-21,colorectal neoplasms,1,True
let-7f,"depressive disorder, major",0,True
mir-671-5p,stomach neoplasms,1,True
mir-34b-5p,"thyroid cancer, papillary",1,True
mir-335-3p,ischemic stroke,1,True
mir-760,colonic neoplasms,1,True
cdk6,chronic thromboembolic pulmonary hypertension,1,True
mir-378a-3p,pancreatic neoplasms,1,True
mir-320,crohn disease,0,True
mir-302b-3p,squamous cell carcinoma of head and neck,1,True
mir-296-3p,"carcinoma, renal cell",1,True
mir-23b-5p,cutaneous squamous cell carcinoma,1,True
mir-1183,glioma,1,True
mir-101,urinary bladder neoplasms,1,True
hsa-mir-138-5p,leukemia,1,True
mir-206,stomach neoplasms,1,True
mir-150-5p,uterine cervical neoplasms,1,True
mir-1257,glioblastoma,1,True
mir-556-3p,"diabetes mellitus, type 2",0,True
mir-218-5p,"carcinoma, hepatocellular",1,True
mirna-29a-3p,triple negative breast neoplasms,0,True
mir-625,"carcinoma, pancreatic ductal",1,True
mir-199a-5p,"diabetes mellitus, type 2",0,True
mir-200c-3p,breast neoplasms,1,True
mir-448,osteosarcoma,1,True
mir-17-3p,liver neoplasms,1,True
mir-181,"leukemia, myeloid, acute",1,True
mir-34a-3p,hypopharyngeal neoplasms,0,True
mir-19a,osteosarcoma,1,True
mir-520a-5p,infantile hemangioma,1,True
mir-125a-5p,breast neoplasms,1,True
mir-765,cutaneous squamous cell carcinoma,1,True
mir-1287,breast neoplasms,1,True
mir-376a,salivary adenoid cystic carcinoma,0,True
mir-338,pancreatic neoplasms,1,True
